Place and name,Year,Rating,Number of Ratings,URL
82. Princess Mononoke,1997,8.3,453K,https://imdb.com/title/tt0119698/?ref_=chttp_i_82
83. Your Name.,2016,8.4,347K,https://imdb.com/title/tt5311514/?ref_=chttp_i_83
84. High and Low,1963,8.4,58K,https://imdb.com/title/tt0057565/?ref_=chttp_i_84
85. 3 Idiots,2009,8.4,452K,https://imdb.com/title/tt1187043/?ref_=chttp_i_85
86. Joker,2019,8.3,1.6M,https://imdb.com/title/tt7286456/?ref_=chttp_i_86
87. Once Upon a Time in America,1984,8.3,391K,https://imdb.com/title/tt0087843/?ref_=chttp_i_87
88. Singin' in the Rain,1952,8.3,270K,https://imdb.com/title/tt0045152/?ref_=chttp_i_88
89. Capernaum,2018,8.4,114K,https://imdb.com/title/tt8267604/?ref_=chttp_i_89
90. Come and See,1985,8.3,109K,https://imdb.com/title/tt0091251/?ref_=chttp_i_90
91. Requiem for a Dream,2000,8.3,929K,https://imdb.com/title/tt0180093/?ref_=chttp_i_91
92. Toy Story 3,2010,8.3,922K,https://imdb.com/title/tt0435761/?ref_=chttp_i_92
93. Star Wars: Episode VI - Return of the Jedi,1983,8.3,1.2M,https://imdb.com/title/tt0086190/?ref_=chttp_i_93
94. The Hunt,2012,8.3,382K,https://imdb.com/title/tt2106476/?ref_=chttp_i_94
95. Eternal Sunshine of the Spotless Mind,2004,8.3,1.1M,https://imdb.com/title/tt0338013/?ref_=chttp_i_95
96. Ikiru,1952,8.3,95K,https://imdb.com/title/tt0044741/?ref_=chttp_i_96
97. 2001: A Space Odyssey,1968,8.3,745K,https://imdb.com/title/tt0062622/?ref_=chttp_i_97
98. Reservoir Dogs,1992,8.3,1.1M,https://imdb.com/title/tt0105236/?ref_=chttp_i_98
99. The Apartment,1960,8.3,206K,https://imdb.com/title/tt0053604/?ref_=chttp_i_99
100. Lawrence of Arabia,1962,8.3,326K,https://imdb.com/title/tt0056172/?ref_=chttp_i_100
101. Incendies,2010,8.3,221K,https://imdb.com/title/tt1255953/?ref_=chttp_i_101
102. Scarface,1983,8.3,952K,https://imdb.com/title/tt0086250/?ref_=chttp_i_102
103. Double Indemnity,1944,8.3,173K,https://imdb.com/title/tt0036775/?ref_=chttp_i_103
104. North by Northwest,1959,8.3,358K,https://imdb.com/title/tt0053125/?ref_=chttp_i_104
105. Heat,1995,8.3,746K,https://imdb.com/title/tt0113277/?ref_=chttp_i_105
106. Citizen Kane,1941,8.3,478K,https://imdb.com/title/tt0033467/?ref_=chttp_i_106
107. M,1931,8.3,175K,https://imdb.com/title/tt0022100/?ref_=chttp_i_107
108. Up,2009,8.3,1.2M,https://imdb.com/title/tt1049413/?ref_=chttp_i_108
109. Full Metal Jacket,1987,8.2,814K,https://imdb.com/title/tt0093058/?ref_=chttp_i_109
110. Vertigo,1958,8.3,441K,https://imdb.com/title/tt0052357/?ref_=chttp_i_110
111. Amélie,2001,8.3,813K,https://imdb.com/title/tt0211915/?ref_=chttp_i_111
112. Oppenheimer,2023,8.3,851K,https://imdb.com/title/tt15398776/?ref_=chttp_i_112
113. A Clockwork Orange,1971,8.2,904K,https://imdb.com/title/tt0066921/?ref_=chttp_i_113
114. To Kill a Mockingbird,1962,8.3,341K,https://imdb.com/title/tt0056592/?ref_=chttp_i_114
115. A Separation,2011,8.3,267K,https://imdb.com/title/tt1832382/?ref_=chttp_i_115
116. Die Hard,1988,8.2,982K,https://imdb.com/title/tt0095016/?ref_=chttp_i_116
117. The Sting,1973,8.3,288K,https://imdb.com/title/tt0070735/?ref_=chttp_i_117
118. Like Stars on Earth,2007,8.3,215K,https://imdb.com/title/tt0986264/?ref_=chttp_i_118
119. Indiana Jones and the Last Crusade,1989,8.2,832K,https://imdb.com/title/tt0097576/?ref_=chttp_i_119
120. Metropolis,1927,8.3,192K,https://imdb.com/title/tt0017136/?ref_=chttp_i_120
121. Snatch,2000,8.2,937K,https://imdb.com/title/tt0208092/?ref_=chttp_i_121
122. 1917,2019,8.2,715K,https://imdb.com/title/tt8579674/?ref_=chttp_i_122
123. L.A. Confidential,1997,8.2,636K,https://imdb.com/title/tt0119488/?ref_=chttp_i_123
124. Bicycle Thieves,1948,8.3,183K,https://imdb.com/title/tt0040522/?ref_=chttp_i_124
125. Downfall,2004,8.2,385K,https://imdb.com/title/tt0363163/?ref_=chttp_i_125
126. Dangal,2016,8.3,222K,https://imdb.com/title/tt5074352/?ref_=chttp_i_126
127. Taxi Driver,1976,8.2,965K,https://imdb.com/title/tt0075314/?ref_=chttp_i_127
128. Hamilton,2020,8.3,125K,https://imdb.com/title/tt8503618/?ref_=chttp_i_128
129. The Wolf of Wall Street,2013,8.2,1.7M,https://imdb.com/title/tt0993846/?ref_=chttp_i_129
130. Batman Begins,2005,8.2,1.6M,https://imdb.com/title/tt0372784/?ref_=chttp_i_130
131. Green Book,2018,8.2,620K,https://imdb.com/title/tt6966692/?ref_=chttp_i_131
132. For a Few Dollars More,1965,8.2,285K,https://imdb.com/title/tt0059578/?ref_=chttp_i_132
133. Some Like It Hot,1959,8.2,292K,https://imdb.com/title/tt0053291/?ref_=chttp_i_133
134. The Truman Show,1998,8.2,1.3M,https://imdb.com/title/tt0120382/?ref_=chttp_i_134
135. Judgment at Nuremberg,1961,8.3,90K,https://imdb.com/title/tt0055031/?ref_=chttp_i_135
136. The Kid,1921,8.2,140K,https://imdb.com/title/tt0012349/?ref_=chttp_i_136
137. The Father,2020,8.2,208K,https://imdb.com/title/tt10272386/?ref_=chttp_i_137
138. Shutter Island,2010,8.2,1.5M,https://imdb.com/title/tt1130884/?ref_=chttp_i_138
139. All About Eve,1950,8.2,143K,https://imdb.com/title/tt0042192/?ref_=chttp_i_139
140. There Will Be Blood,2007,8.2,663K,https://imdb.com/title/tt0469494/?ref_=chttp_i_140
141. Jurassic Park,1993,8.2,1.1M,https://imdb.com/title/tt0107290/?ref_=chttp_i_141
142. Casino,1995,8.2,585K,https://imdb.com/title/tt0112641/?ref_=chttp_i_142
143. I'm Still Here,2024,8.9,64K,https://imdb.com/title/tt14961016/?ref_=chttp_i_143
144. The Sixth Sense,1999,8.2,1.1M,https://imdb.com/title/tt0167404/?ref_=chttp_i_144
145. Ran,1985,8.2,142K,https://imdb.com/title/tt0089881/?ref_=chttp_i_145
146. Top Gun: Maverick,2022,8.2,756K,https://imdb.com/title/tt1745960/?ref_=chttp_i_146
147. No Country for Old Men,2007,8.2,1.1M,https://imdb.com/title/tt0477348/?ref_=chttp_i_147
148. The Thing,1982,8.2,491K,https://imdb.com/title/tt0084787/?ref_=chttp_i_148
149. Pan's Labyrinth,2006,8.2,719K,https://imdb.com/title/tt0457430/?ref_=chttp_i_149
150. Unforgiven,1992,8.2,449K,https://imdb.com/title/tt0105695/?ref_=chttp_i_150
151. A Beautiful Mind,2001,8.2,1M,https://imdb.com/title/tt0268978/?ref_=chttp_i_151
152. Kill Bill: Vol. 1,2003,8.2,1.2M,https://imdb.com/title/tt0266697/?ref_=chttp_i_152
153. The Treasure of the Sierra Madre,1948,8.2,136K,https://imdb.com/title/tt0040897/?ref_=chttp_i_153
154. Yojimbo,1961,8.2,136K,https://imdb.com/title/tt0055630/?ref_=chttp_i_154
155. Prisoners,2013,8.2,856K,https://imdb.com/title/tt1392214/?ref_=chttp_i_155
156. Finding Nemo,2003,8.2,1.1M,https://imdb.com/title/tt0266543/?ref_=chttp_i_156
157. The Great Escape,1963,8.2,266K,https://imdb.com/title/tt0057115/?ref_=chttp_i_157
158. Monty Python and the Holy Grail,1975,8.2,583K,https://imdb.com/title/tt0071853/?ref_=chttp_i_158
159. Howl's Moving Castle,2004,8.2,475K,https://imdb.com/title/tt0347149/?ref_=chttp_i_159
160. The Elephant Man,1980,8.2,269K,https://imdb.com/title/tt0080678/?ref_=chttp_i_160
161. The Wild Robot,2024,8.2,131K,https://imdb.com/title/tt29623480/?ref_=chttp_i_161
162. Dial M for Murder,1954,8.2,196K,https://imdb.com/title/tt0046912/?ref_=chttp_i_162
163. Rashomon,1950,8.2,187K,https://imdb.com/title/tt0042876/?ref_=chttp_i_163
164. Gone with the Wind,1939,8.2,343K,https://imdb.com/title/tt0031381/?ref_=chttp_i_164
165. Chinatown,1974,8.1,361K,https://imdb.com/title/tt0071315/?ref_=chttp_i_165
166. The Secret in Their Eyes,2009,8.2,230K,https://imdb.com/title/tt1305806/?ref_=chttp_i_166
